x,y,z,w
-117.332,749.509,450.568,0.437474
-289.109,-535.79,-771.819,1.09271
-1298.99,531.1,466.963,0.400912
195.728,71.4433,147.94,0.362764
784.166,542.599,-26.0766,0.278259
52.3583,51.8291,89.3765,0.858843
177.282,52.8281,148.312,0.794296
-5.40988,-2.02654,-25.4161,0.18121
180.584,77.4338,144.426,0.718854
181.154,68.7577,136.067,1.07888
22.586,-188.085,-137.159,0.355135
183.054,63.422,148.999,1.00005
181.714,62.8374,147.584,0.15295
179.827,65.8763,153.655,0.768111
180.937,68.6396,144.899,0.446965
156.589,-147.763,-123.453,0.382357
183.768,63.921,143.11,0.319977
179.601,63.5569,148.346,0.943806
183.454,79.9172,130.932,0.591348
196.773,69.9213,146.37,0.705823
-172.184,336.909,125.435,0.930103
142.158,-283.189,677.65,0.250121
93.1599,31.6722,97.1445,1.09319
186.352,67.6845,134.462,0.787429
186.573,67.299,139.911,0.289001
188.5,60.9165,135.866,0.58323
517.459,62.6446,338.887,0.665478
84.6269,33.7394,98.0059,0.508704
-417.775,-384.344,-1075.08,0.923359
126.931,14.064,-174.853,0.71626
-521.937,-2.95898,193.674,1.0545
151.729,-766.668,-14.862,0.440556
185.597,65.2952,157.243,0.205258
-1049.94,-1670.73,-1221.34,0.924244
369.142,442.861,-341.738,0.664684
104.289,-1028.38,199.716,0.46848
-1459.06,-1320,18.4532,0.977743
191.176,43.279,76.7348,0.60914
-156.538,73.2442,435.212,0.183651
181.768,63.826,155.094,0.41727
-1486.37,162.662,1194.67,0.179318
181.195,63.8476,148.249,0.924976
20.5993,-452.438,136.784,0.207334
180.59,66.1873,170.008,0.676251
25.0177,-138.248,178.876,0.469427
178.669,65.4544,154.985,0.402622
-348.536,902.587,-808.169,0.864733
646.841,-360.075,173.153,0.824174
-180.652,548.391,693.077,0.853075
458.309,281.579,-226.836,0.575021
174.731,40.1468,68.8237,0.44312
190.494,59.7134,158.254,0.254271
185.34,66.4555,149.971,0.305939
229.871,65.8163,227.648,0.601907
615.923,518.288,234.211,1.01299
-721.756,-87.8125,48.3777,0.79924
183.239,68.1386,150.989,0.399539
176.329,61.677,153.328,0.895068
179.62,65.8361,142.607,1.05297
179.733,70.2664,158.648,0.356172
178.202,67.1568,166.936,0.925983
174.062,161.715,304.383,0.743269
182.646,66.9762,148.667,1.07497
186.149,64.5933,148.559,0.511664
238.192,-498.384,-569.749,0.523139
132.318,58.895,140.524,0.937184
181.591,61.656,147.66,0.248991
181.767,47.5994,89.6814,0.166744
-793.21,-222.851,-1074.11,0.29953
4.93169,-88.7944,238.478,0.394382
188.496,58.3571,138.559,1.02843
402.782,-315.047,-121.037,0.161892
183.543,64.1521,151.492,0.459416
181.926,84.1868,147.612,0.784561
723.324,-505.646,-210.924,0.774642
-158.656,924.58,-13.4032,0.902057
-101.502,-78.5646,-316.733,0.927784
603.834,-1460.08,-559.263,0.15414
175.905,55.7924,156.89,0.382388
227.756,126.313,27.1745,0.981619
-363.676,-3.14596,-2.00031,0.975271
183.248,-41.7064,-126.398,0.551704
210.414,-264.138,-78.25,0.904559
186.501,66.4756,144.264,0.809403
182.517,65.1282,149.711,0.843217
182.701,64.9733,147.626,0.65269
190.744,66.3955,94.8638,0.177181
76.9995,64.0231,80.1477,0.233702
184.128,65.6061,143.249,0.368715
179.899,61.4503,141.689,0.384432
595.533,672.004,-964.486,0.444646
104.201,793.837,177.005,0.167324
-79.7588,52.3252,200.045,0.609568
171.379,72.1735,153.984,0.551308
181.324,64.2245,157.66,0.984365
182.187,64.2126,154.348,0.21243
182.66,64.8875,145.038,0.469182
223.268,106.211,93.0535,0.459661
413.169,-80.8193,263.027,0.732038
213.129,-335.419,258.428,0.285705
184.99,63.8221,149.406,0.321778
-1494.62,-501.969,1201.92,0.542732
-466.85,383.924,757.155,0.906635
183.901,65.458,153.714,0.243223
71.7648,-213.269,260.242,0.637248
49.3202,460.186,148.713,0.985708
182.304,69.2168,148.599,0.635203
183.803,69.4459,152.859,0.50556
177.625,46.3041,158.835,0.606119
-1010.29,-1516.1,1269.89,0.350771
190.108,69.2903,161.956,0.578072
-17.5522,46.5783,-1270.07,0.682751
-78.2095,126.439,-654.51,0.764724
186.014,59.9451,131.648,0.202023
830.939,739.814,-0.966187,0.553749
-1782.06,-718.671,294.919,0.199216
245.633,-40.8196,282.144,0.620035
180.3,71.0991,161.098,0.730604
-172.875,204.191,225.105,0.163936
1172.95,-668.661,-1178.68,0.918964
239.513,-336.945,432.184,0.274718
183.463,62.8415,146.017,0.379427
-162.386,-36.6852,-17.7783,0.418613
1004.04,-2353.57,-501.719,0.770248
178.088,55.0104,149.792,1.05224
186.26,64.5102,153.094,0.468542
178.881,62.9942,151.191,0.360811
-100.152,2378.27,1404.17,0.371004
776.099,-1737.77,1244.83,0.121577
182.289,66.9412,152.282,0.819871
443.423,245.141,34.5315,0.691937
38.98,133.525,7.90279,0.653484
-789.03,206.635,1312.68,0.122645
446.427,-26.6227,-107.793,0.382235
180.888,63.8963,144.985,0.396457
187.901,68.7706,145.653,0.489386
166.453,82.9787,123.143,0.790939
128.594,217.002,866.488,0.856584
28.8002,-3.56413,-21.3208,0.367129
184.638,73.9803,153.569,0.314911
184.618,67.4282,158.119,0.58262
185.636,65.5709,150.141,0.320618
6.54786,9.80766,-658.077,1.0299
178.318,64.6756,155.609,0.755751
184.072,61.7499,136.255,0.299591
184.571,63.5926,143.254,0.854112
194.546,62.5764,143.376,0.968862
175.622,55.9813,152.669,0.251921
4419.45,-1673.9,-5540.14,0.71449
181.342,66.3902,150.752,0.163723
-231.399,-1102.44,626.977,0.551369
771.317,122.797,-429.759,0.683056
110.573,-18.6364,133.283,0.195645
185.56,64.0377,144.773,0.208188
186.788,65.0597,150.796,0.553017
189.571,64.7886,141.741,0.993094
188.04,65.2606,140.899,0.332063
185.671,67.6595,136.1,0.823045
-59.5121,53.3965,444.911,0.782485
181.33,64.424,145.403,0.815506
-41.5412,687.008,-2.46089,0.558449
100.362,49.3626,48.9868,0.345827
164.314,60.5396,130.614,0.706769
183.247,64.5744,133.482,1.09817
179.965,62.8474,147.13,0.780258
181.273,67.1415,149.583,0.241087
864.515,-121.406,1321.4,1.07601
-381.409,526.804,373.915,0.728498
326.452,238.419,-238.16,0.998618
-149.453,-386.544,-344.417,0.725294
185.679,66.208,148.674,0.548531
129.067,32.6888,95.924,0.158229
201.365,61.1548,139.493,0.935353
182.911,68.2866,150.724,0.391787
183.097,67.7718,157.631,0.315918
60.9069,59.1665,-93.2432,1.02874
-214.923,440.627,-1040.27,0.65797
-106.095,-659.344,-188.069,0.836045
52.0927,-22.8435,-348.7,0.727979
-2326.08,861.235,1166.9,0.795669
-18.478,-1140.58,-439.036,0.20474
-631.876,-919.801,-321.269,0.280273
98.7204,842.317,-359.068,0.917591
349.907,115.424,-267.073,0.354189
-96.0024,854.922,919.444,0.209592
26.7501,10.3005,-304.046,0.198849
-156.683,-667.859,112.944,0.425968
235.734,252.35,1071.87,0.663952
189.072,64.7445,141.966,0.527198
145.497,-68.232,718.257,0.942952
190.131,64.7379,140.347,0.8275
180.402,69.3687,155.318,0.373995
110.097,1035.06,-953.913,0.857897
-244.738,22.9237,-319.545,0.365725
186.184,69.7545,150.72,0.354707
512.38,2489.06,5.85239,0.447911
182.457,65.3096,153.145,0.372683
844.757,129.244,212.806,0.447362
651.15,1213.53,965.222,0.523414
184.415,65.3242,134.159,0.788681
74.4914,39.3213,115.226,0.33838
185.999,72.9236,153.908,0.919941
183.684,61.1057,143.738,0.757582
593.491,497.686,7.77402,0.863665
-17.9693,-253.124,-190.501,0.742445
187.078,64.1848,145.139,0.892474
-581.47,-408.738,-338.617,1.0144
186.311,63.7979,144.366,0.329835
181.924,60.0731,148.335,0.917988
186.38,64.9075,146.849,0.475958
134.877,-111.118,57.2829,0.409244
-158.68,-2.27605,55.3682,0.658489
183.006,62.2921,143.711,0.16888
175.969,60.2685,150.983,0.408329
174.508,64.4585,154.617,0.840715
180.571,63.9194,134.232,0.760451
170.388,60.157,146.664,0.394748
176.961,58.3667,150.404,0.679547
173.583,66.5039,156.907,0.61561
-1165.46,1053.83,-1036.73,0.610941
1117.54,1665.46,1460.23,0.715802
178.238,64.6941,148.633,0.156368
-160.973,161.322,-586.476,1.07394
178.797,65.4336,159.336,0.874712
183.979,61.8578,147.98,1.09805
185.648,64.9917,157.681,0.2077
205,22.5288,107.146,0.213834
178.9,65.7097,144.475,0.53086
101.513,1078.07,126.815,0.978109
184.024,62.9235,149.893,0.329225
174.199,64.9572,158.731,0.316773
173.853,48.2575,164.969,0.498053
54.3454,430.191,-445.93,0.888415
-351.422,135.919,-987.778,0.768691
188.418,69.6874,144.073,0.572335
178.541,62.5565,156.095,0.259307
186.918,64.6192,155.634,1.08206
-1150.96,6.2748,108.096,0.150722
181.765,61.1863,147.938,0.703351
182.789,60.3755,144.455,0.487158
181.682,-406.686,226.499,0.157741
170.707,10.6121,164.836,0.101984
-510.894,-1007.73,934.51,0.590768
187.736,65.2228,144.351,0.66859
186.237,69.8895,147.798,0.685101
175.163,65.8183,152.859,0.876025
183.72,65.6719,153.666,0.898883
790.453,308.887,37.3229,0.729994
-127.906,546.713,440.635,0.829179
1222.81,626.597,126.156,0.978384
152.023,62.1298,147.224,0.700055
136.105,44.3882,137.054,0.662243
220.095,-30.8967,213.513,0.975973
-383.193,-503.657,195.172,0.791519
-11.577,-122.046,-970.266,1.09994
-671.477,824.738,258.391,0.145686
176.333,62.2096,152.585,0.356996
22.3974,30.7957,59.7212,0.199826
185.372,66.9986,155.167,0.862322
185.201,63.1475,147.295,0.175106
200.459,58.5144,149.731,0.674603
1624.7,-1300.61,-426.851,0.21475
183.991,63.6775,147.471,1.03429
182.63,65.5372,152.897,0.684765
30.0494,5.69459,41.252,0.726789
378.581,362.186,1038.09,0.599619
160.29,59.8587,133.495,0.570992
180.801,65.0378,153.738,0.173275
179.388,64.0858,146.912,1.03228
1557.18,226.018,-669.975,0.494696
178.574,65.5246,149.414,0.960958
27.363,-100.542,-348.962,0.328828
-578.825,45.1139,-236.118,0.455449
184.731,65.5479,145.581,1.04226
120.901,30.8481,121.702,0.850725
414.415,-87.4988,-431.721,0.654033
184.35,66.1175,153.492,0.831437
-886.068,-1151.63,-1077.27,1.01147
180.511,46.1687,145.025,0.670208
185.234,69.4332,147.162,1.09091
-41.4161,409.603,-24.9382,0.591043
38.2846,235.551,-300.739,0.423466
150.178,-3.91882,-401.869,0.257414
236.96,-471.601,439.393,0.645946
174.808,71.701,133.477,0.385775
-40.1008,723.183,-219.578,0.176388
806.866,419.734,-288.459,0.483618
181.431,60.7201,141.67,1.01513
181.875,63.9906,142.824,0.712903
184.141,64.4724,152.951,0.670269
-285.633,-18.0668,380.221,0.878283
113.422,-232.844,126.036,0.208798
185.074,66.0054,137.04,0.540321
-389.715,251.262,437.918,0.432133
189.122,61.7032,144.649,0.253966
181.464,62.9671,144.619,0.176907
29.1596,-30.5085,-63.9881,0.93166
304.919,493.423,130.511,0.740919
-316.645,-143.049,-146.106,0.331635
187.245,66.6391,145.84,0.43372
182.523,63.8429,151.942,0.671245
-122.747,-486.433,-43.6532,0.252531
-56.4543,-55.0548,-429.225,0.365267
201.463,911.906,-383.894,0.682995
177.814,58.2106,162.488,0.889148
-21.1716,-491.139,-528.514,0.624888
-26.8421,116.539,278.88,0.767196
182.951,66.2458,151.659,0.442967
42.9408,-67.3408,119.011,0.686047
170.852,55.4553,143.369,0.142756
-1700.17,1248.19,-358.503,0.732832
186.372,61.6907,146.411,0.671337
149.965,54.7942,172.289,0.758437
107.931,35.7714,89.7029,0.342958
184.839,64.65,146.424,0.865862
180.29,68.0692,142.982,0.390139
188.639,60.6172,138.095,1.02346
180.852,60.7974,164.501,0.639201
187.944,65.8058,141.144,0.803177
183.408,60.7235,155.039,0.311035
184.39,63.7686,142.953,0.243895
488.949,-1122.37,-245.68,0.947163
181.701,61.2223,151.831,0.839799
182.958,65.2352,149.744,0.460057
-648.874,358.326,-201.82,0.653392
928.024,266.382,1979.72,0.309418
73.364,25.9681,199.071,0.554054
-150.628,166.303,329.88,0.802658
-628.543,1584.9,-1686.06,0.581124
-1146.35,-809.006,-284.856,0.520667
129.718,17.0685,54.9947,0.432377
153.686,62.3168,151.542,0.868761
952.963,-51.0269,1456.46,1.07714
11.3759,30.8045,56.3736,0.752364
182.909,59.4477,144.393,0.494513
